==1875== NVPROF is profiling process 1875, command: ./Release/ssai-2dstencil
==1875== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==1875== Profiling application: ./Release/ssai-2dstencil
==1875== Profiling result:
==1875== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla P100-SXM2-16GB (0)"
    Kernel: void stencil2d_121pt::j2d121pt<double, int=128, int=8>(double const *, stencil2d_121pt::j2d121pt<double, int=128, int=8>*, int, int)
          1                 tex0_cache_sector_queries    67855424    67855424    67855424    67855424
          1                 tex1_cache_sector_queries    67881920    67881920    67881920    67881920
          1                  tex0_cache_sector_misses    38438135    38438135    38438135    38438135
          1                  tex1_cache_sector_misses    37993482    37993482    37993482    37993482
          1                     fb_subp0_read_sectors     4233296     4233296     4233296     4233296
          1                     fb_subp1_read_sectors     4228286     4228286     4228286     4228286
          1                    fb_subp0_write_sectors     4220732     4220732     4220732     4220732
          1                    fb_subp1_write_sectors     4217709     4217709     4217709     4217709
          1                    fb1_subp0_read_sectors     4233599     4233599     4233599     4233599
          1                    fb1_subp1_read_sectors     4228166     4228166     4228166     4228166
          1                   fb1_subp0_write_sectors     4221504     4221504     4221504     4221504
          1                   fb1_subp1_write_sectors     4217603     4217603     4217603     4217603
          1              l2_subp0_write_sector_misses     8442709     8442709     8442709     8442709
          1              l2_subp1_write_sector_misses     8442794     8442794     8442794     8442794
          1               l2_subp0_read_sector_misses     8469705     8469705     8469705     8469705
          1               l2_subp1_read_sector_misses     8470461     8470461     8470461     8470461
          1          l2_subp0_read_tex_sector_queries    25214943    25214943    25214943    25214943
          1          l2_subp1_read_tex_sector_queries    25217264    25217264    25217264    25217264
          1         l2_subp0_write_tex_sector_queries     9150464     9150464     9150464     9150464
          1         l2_subp1_write_tex_sector_queries     9150464     9150464     9150464     9150464
          1             l2_subp0_read_tex_hit_sectors    16646794    16646794    16646794    16646794
          1             l2_subp1_read_tex_hit_sectors    16645736    16645736    16645736    16645736
          1            l2_subp0_write_tex_hit_sectors     3005233     3005233     3005233     3005233
          1            l2_subp1_write_tex_hit_sectors     3004667     3004667     3004667     3004667
          1        l2_subp0_total_read_sector_queries    25680084    25680084    25680084    25680084
          1        l2_subp1_total_read_sector_queries    25680359    25680359    25680359    25680359
          1       l2_subp0_total_write_sector_queries     9210533     9210533     9210533     9210533
          1       l2_subp1_total_write_sector_queries     9210352     9210352     9210352     9210352
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                             gld_inst_8bit           0           0           0           0
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit   220004352   220004352   220004352   220004352
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit           0           0           0           0
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit    67108864    67108864    67108864    67108864
          1                           gst_inst_128bit           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched      385024      385024      385024      385024
          1                              inst_issued0   312781926   312781926   312781926   312781926
          1                              inst_issued1   422169169   422169169   422169169   422169169
          1                              inst_issued2    57306459    57306459    57306459    57306459
