==119209== NVPROF is profiling process 119209, command: ./Release/ssai-2dstencil
==119209== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==119209== Profiling application: ./Release/ssai-2dstencil
==119209== Profiling result:
==119209== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: void stencil2d_121pt::j2d121pt<double, int=128, int=8>(double const *, stencil2d_121pt::j2d121pt<double, int=128, int=8>*, int, int)
          1                     fb_subp0_read_sectors    10147298    10147298    10147298    10147298
          1                     fb_subp1_read_sectors    10176430    10176430    10176430    10176430
          1                    fb_subp0_write_sectors     8821087     8821087     8821087     8821087
          1                    fb_subp1_write_sectors     8819938     8819938     8819938     8819938
          1              l2_subp0_write_sector_misses     8817795     8817795     8817795     8817795
          1              l2_subp1_write_sector_misses     8817817     8817817     8817817     8817817
          1               l2_subp0_read_sector_misses    10121435    10121435    10121435    10121435
          1               l2_subp1_read_sector_misses    10117884    10117884    10117884    10117884
          1          l2_subp0_read_tex_sector_queries    22521845    22521845    22521845    22521845
          1          l2_subp1_read_tex_sector_queries    22520947    22520947    22520947    22520947
          1         l2_subp0_write_tex_sector_queries     9150464     9150464     9150464     9150464
          1         l2_subp1_write_tex_sector_queries     9150464     9150464     9150464     9150464
          1             l2_subp0_read_tex_hit_sectors    13437949    13437949    13437949    13437949
          1             l2_subp1_read_tex_hit_sectors    13437986    13437986    13437986    13437986
          1            l2_subp0_write_tex_hit_sectors     2997789     2997789     2997789     2997789
          1            l2_subp1_write_tex_hit_sectors     2997364     2997364     2997364     2997364
          1        l2_subp0_total_read_sector_queries    22513393    22513393    22513393    22513393
          1        l2_subp1_total_read_sector_queries    22512216    22512216    22512216    22512216
          1       l2_subp0_total_write_sector_queries     9595433     9595433     9595433     9595433
          1       l2_subp1_total_write_sector_queries     9595365     9595365     9595365     9595365
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           1           1           1           1
          1      l2_subp1_write_sysmem_sector_queries           4           4           4           4
          1                         elapsed_cycles_sm   389102198   389102198   389102198   389102198
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched      385024      385024      385024      385024
          1                              inst_issued0  1048908602  1048908602  1048908602  1048908602
          1                              inst_issued1   503919902   503919902   503919902   503919902
          1                             inst_executed   606730240   606730240   606730240   606730240
          1                      thread_inst_executed  1.8657e+10  1.8657e+10  1.8657e+10  1.8657e+10
          1   not_predicated_off_thread_inst_executed  1.8512e+10  1.8512e+10  1.8512e+10  1.8512e+10
          1                             active_cycles   388225052   388225052   388225052   388225052
          1                              active_warps  1.3567e+10  1.3567e+10  1.3567e+10  1.3567e+10
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched       96256       96256       96256       96256
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load           0           0           0           0
          1                             generic_store           0           0           0           0
          1                               global_load     6875136     6875136     6875136     6875136
          1                              global_store     3055616     3055616     3055616     3055616
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                    shared_ld_transactions           0           0           0           0
          1                    shared_st_transactions           0           0           0           0
          1                   shared_ld_bank_conflict           0           0           0           0
          1                   shared_st_bank_conflict           0           0           0           0
          1                           global_atom_cas           0           0           0           0
          1                          active_cycles_pm   388667708   388667708   388667708   388667708
          1                           active_warps_pm  1.1925e+10  1.1925e+10  1.1925e+10  1.1925e+10
          1                         elapsed_cycles_pm   389456032   389456032   389456032   389456032

==119209== Metric result:
Invocations                               Metric Name                                               Metric Description         Min         Max         Avg
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: void stencil2d_121pt::j2d121pt<double, int=128, int=8>(double const *, stencil2d_121pt::j2d121pt<double, int=128, int=8>*, int, int)
          1                             inst_per_warp                                            Instructions per warp  1.5758e+03  1.5758e+03  1.5758e+03
          1                         branch_efficiency                                                Branch Efficiency      83.32%      83.32%      83.32%
          1                 warp_execution_efficiency                                        Warp Execution Efficiency      96.09%      96.09%      96.09%
          1         warp_nonpred_execution_efficiency                         Warp Non-Predicated Execution Efficiency      95.35%      95.35%      95.35%
          1                      inst_replay_overhead                                      Instruction Replay Overhead    0.000209    0.000209    0.000209
          1      shared_load_transactions_per_request                      Shared Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1     shared_store_transactions_per_request                     Shared Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1       local_load_transactions_per_request                       Local Memory Load Transactions Per Request    0.000000    0.000000    0.000000
          1      local_store_transactions_per_request                      Local Memory Store Transactions Per Request    0.000000    0.000000    0.000000
          1              gld_transactions_per_request                             Global Load Transactions Per Request    8.758757    8.758757    8.758757
          1              gst_transactions_per_request                            Global Store Transactions Per Request    5.989276    5.989276    5.989276
          1                 shared_store_transactions                                        Shared Store Transactions           0           0           0
          1                  shared_load_transactions                                         Shared Load Transactions           0           0           0
          1                   local_load_transactions                                          Local Load Transactions           0           0           0
          1                  local_store_transactions                                         Local Store Transactions           0           0           0
          1                          gld_transactions                                         Global Load Transactions    60217646    60217646    60217646
          1                          gst_transactions                                        Global Store Transactions    18300928    18300928    18300928
          1                  sysmem_read_transactions                                  System Memory Read Transactions           0           0           0
          1                 sysmem_write_transactions                                 System Memory Write Transactions           5           5           5
          1                      l2_read_transactions                                             L2 Read Transactions    45025609    45025609    45025609
          1                     l2_write_transactions                                            L2 Write Transactions    19190798    19190798    19190798
          1                    dram_read_transactions                                  Device Memory Read Transactions    20239319    20239319    20239319
          1                   dram_write_transactions                                 Device Memory Write Transactions    17635612    17635612    17635612
          1                           global_hit_rate                                Global Hit Rate in unified l1/tex      26.72%      26.72%      26.72%
          1                            local_hit_rate                                                   Local Hit Rate       0.00%       0.00%       0.00%
          1                  gld_requested_throughput                                 Requested Global Load Throughput  514.02GB/s  514.02GB/s  514.02GB/s
          1                  gst_requested_throughput                                Requested Global Store Throughput  157.11GB/s  157.11GB/s  157.11GB/s
          1                            gld_throughput                                           Global Load Throughput  563.91GB/s  563.91GB/s  563.91GB/s
          1                            gst_throughput                                          Global Store Throughput  171.38GB/s  171.38GB/s  171.38GB/s
          1                     local_memory_overhead                                            Local Memory Overhead       9.42%       9.42%       9.42%
          1                        tex_cache_hit_rate                                           Unified Cache Hit Rate      20.87%      20.87%      20.87%
          1                      l2_tex_read_hit_rate                                      L2 Hit Rate (Texture Reads)      59.67%      59.67%      59.67%
          1                     l2_tex_write_hit_rate                                     L2 Hit Rate (Texture Writes)      32.76%      32.76%      32.76%
          1                      dram_read_throughput                                    Device Memory Read Throughput  189.53GB/s  189.53GB/s  189.53GB/s
          1                     dram_write_throughput                                   Device Memory Write Throughput  165.15GB/s  165.15GB/s  165.15GB/s
          1                      tex_cache_throughput                       Unified cache to Multiprocessor throughput  2916.1GB/s  2916.1GB/s  2916.1GB/s
          1                    l2_tex_read_throughput                                    L2 Throughput (Texture Reads)  421.80GB/s  421.80GB/s  421.80GB/s
          1                   l2_tex_write_throughput                                   L2 Throughput (Texture Writes)  171.38GB/s  171.38GB/s  171.38GB/s
          1                        l2_read_throughput                                            L2 Throughput (Reads)  421.64GB/s  421.64GB/s  421.64GB/s
          1                       l2_write_throughput                                           L2 Throughput (Writes)  179.71GB/s  179.71GB/s  179.71GB/s
